,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
29,Remember,Atom Egoyan,Benjamin August,"['Robert Lantos', 'Ari Lantos']","['Christopher Plummer', 'Bruno Ganz', 'Jürgen Prochnow', 'Heinz Lieven', 'Henry Czerny', 'Dean Norris', 'Martin Landau']",Paul Sarossy,Christopher Donaldson,Mychael Danna,"['Egoli Tossell Film', 'Serendipity Point Films']","['Entertainment One', 'Tiberius Film', 'IM Global']",,,94,9600000,3700000,9/10/15,7.4,74.0,52.0,69.00%
34,De Palma,"['Noah Baumbach', 'Jake Paltrow']",,"['Noah Baumbach', 'Jake Paltrow']",Brian De Palma,,"['Lauren Minnerath', 'Matt Mayer']",,,A24,,English,107,,168045,9/9/15,7.4,74.0,83.0,95.00%
41,Moonlight,Barry Jenkins,,"['Adele Romanski', 'Dede Gardner', 'Jeremy Kleiner']","['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders', 'Jharrel Jerome', 'Naomie Harris', 'Mahershala Ali']",James Laxton,"['Nat Sanders', 'Joi McMillon']",Nicholas Britell,"['A24', 'Plan B Entertainment', 'Pastel Productions']",A24,United States,English,111,1500000,65300000,9/2/16,7.4,74.0,99.0,98.00%
57,Lady Bird,Greta Gerwig,Greta Gerwig,"['Scott Rudin', 'Eli Bush', ""Evelyn O'Neill""]","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges', 'Timothée Chalamet', 'Beanie Feldstein', 'Stephen McKinley Henderson', 'Lois Smith']",Sam Levy,Nick Houy,Jon Brion,"['IAC Films', 'Scott Rudin Productions', 'Management 360']","['A24 (North America)', 'Universal Pictures Focus Features (International)']",United States,English,94,10000000,79000000,9/1/17,7.4,74.0,93.0,99.00%
69,Eighth Grade,Bo Burnham,Bo Burnham,"['Scott Rudin', 'Eli Bush', 'Lila Yacoub', 'Christopher Storer']","['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan', 'Fred Hechinger']",Andrew Wehde,Jennifer Lilly,Anna Meredith,"['A24', 'IAC Films', 'Scott Rudin Productions']","['A24 (United States)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",United States,English,94,2000000,14300000,1/19/18,7.4,74.0,89.0,99.00%
91,The Lighthouse,Robert Eggers,"['Robert Eggers', 'Max Eggers']","['Rodrigo Teixeira', 'Jay Van Hoy', 'Robert Eggers', ""Lourenço Sant'Anna"", 'Youree Henley']","['Willem Dafoe', 'Robert Pattinson']",Jarin Blaschke,Louise Ford,Mark Korven,"['A24', 'Regency Enterprises', 'RT Features']","['A24 (United States)', 'VVS Films (Canada)']",,English,109,11000000,18300000,5/19/19,7.4,74.0,83.0,90.00%
96,Uncut Gems,"['Josh Safdie', 'Benny Safdie']","['Ronald Bronstein', 'Josh Safdie', 'Benny Safdie']","['Scott Rudin', 'Eli Bush', 'Sebastian Bear-McClard']","['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox', 'Kevin Garnett', 'Idina Menzel', 'Eric Bogosian']",Darius Khondji,"['Ronald Bronstein', 'Benny Safdie']",Daniel Lopatin,"['A24', 'Elara Pictures', 'IAC Films', 'Sikelia Productions', 'Scott Rudin Productions']","['A24 (United States)', 'Netflix (International)']",United States,English,135,19000000,50000000,8/30/19,7.4,74.0,91.0,91.00%
101,Minari,Lee Isaac Chung,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']","['Steven Yeun', 'Han Ye-ri', 'Alan Kim', 'Noel Kate Cho', 'Youn Yuh-jung', 'Will Patton']",Lachlan Milne,Harry Yoon,Emile Mosseri,,A24,United States,,115,2000000,15500000,1/26/20,7.4,74.0,89.0,98.00%
108,C'mon C'mon,Mike Mills,Mike Mills,"['Chelsea Barnard', 'Lila Yacoub', 'Andrea Longacre-White']","['Joaquin Phoenix', 'Gaby Hoffmann', 'Scoot McNairy', 'Molly Webster', 'Woody Norman']",Robbie Ryan,Jennifer Vecchiarello,"['Aaron Dessner', 'Bryce Dessner']",,A24,United States,English,108,8300000,4500000,9/2/21,7.4,74.0,82.0,
44,20th Century Women,Mike Mills,Mike Mills,"['Megan Ellison', 'Anne Carey', 'Youree Henley']","['Annette Bening', 'Elle Fanning', 'Greta Gerwig', 'Lucas Jade Zumann', 'Billy Crudup']",Sean Porter,Leslie Jones,Roger Neill,"['Annapurna Pictures', 'Modern People', 'Archer Gray']",A24,United States,English,118,7000000,7200000,10/8/16,7.3,73.0,83.0,88.00%
