,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
49,The Exception,David Leveaux,Simon Burke,"['Lou Pitt', 'Judy Tossell']","['Lily James', 'Jai Courtney', 'Janet McTeer', 'Christopher Plummer', 'Ben Daniels', 'Eddie Marsan', 'Anton Lesser', 'Mark Dexter', 'Martin Savage']",Roman Osin,Nicolas Gaster,Ilan Eshkeri,"['Egoli Tossell Film', 'Ostar Productions', 'Alton Road Productions', 'Silver Reel', 'Lotus Entertainment', 'Umedia', 'Film House Germany', 'Screen Flanders']","['A24', 'Signature Entertainment']",,English,107,,834580,9/12/16,6.8,68.0,60.0,75.00%
51,A Ghost Story,David Lowery,David Lowery,"['Toby Halbrooks', 'James M. Johnston', 'Adam Donaghey']","['Casey Affleck', 'Rooney Mara']",Andrew Droz Palermo,David Lowery,Daniel Hart,"['Sailor Bear', 'Zero Trans Fat Productions', 'Ideaman Studios', 'Scared Sheetless']",A24,United States,,92,100000,2000000,1/22/17,6.8,68.0,84.0,91.00%
61,The Vanishing of Sidney Hall,Shawn Christensen,"['Shawn Christensen', 'Jason Dolan']",Jonathan Schwartz,"['Logan Lerman', 'Elle Fanning', 'Michelle Monaghan', 'Nathan Lane', 'Kyle Chandler']",Daniel Katz,Sabine Hoffman,Darren Morze,"['Super Crispy Entertainment', 'Fuzzy Logic Pictures']","['A24', 'DirecTV Cinema']",United States,English,117,,,1/25/17,6.8,68.0,18.0,11.00%
72,A Prayer Before Dawn,Jean-Stéphane Sauvaire,"['Jonathan Hirschbein', 'Nick Saltrese']","['Roy Boulter', 'Rita Dagher', 'Sol Papadopoulos', 'Nicholas Simon']",Joe Cole,David Ungaro,Marc Boucrot,Nicolas Becker,"['Indochina Productions', 'Meridan Entertainment', 'HanWay Films', 'Symbolic Exchange', 'Canal+', 'Senorita Films', 'Ciné+']","['A24 DirecTV Cinema (United States)', 'Altitude (United Kingdom)', 'Wild Bunch (France)']",,English,117,,958883,5/19/17,6.8,68.0,76.0,92.00%
87,Skin,Guy Nattiv,Guy Nattiv,"['Guy Nattiv', 'Jaime Ray Newman', 'Oren Moverman', 'Dillon D. Jordan', 'Celine Rattray', 'Trudie Styler']","['Jamie Bell', 'Danielle Macdonald', 'Daniel Henshall', 'Bill Camp', 'Ari Barkan', 'Louisa Krause', 'Zoe Colletti', 'Kylie Rogers', 'Colbi Gannett', 'Mike Colter', 'Vera Farmiga']",Arnaud Potier,"['Lee Percy', 'Michael Taylor']",Dan Romer,"['Voltage Pictures', 'Maven Pictures', 'PaperChase Films', 'Lost Lane Entertainment', 'Item 7', 'Sight Unseen Pictures', 'Studio Mao (In association with)']","['A24', 'DirecTV Cinema']",United States,English,110,,135562,9/8/18,6.8,68.0,58.0,76.00%
139,Jerry Lee Lewis: Trouble in Mind,Ethan Coen,,"['Peter Afterman', 'T Bone Burnett', 'Steve Bing', 'Mick Jagger', 'Victoria Pearman']",Jerry Lee Lewis,,Tricia Cooke,,"['A24', 'Live Nation Productions', 'Jagged Films', 'Shangri-La Entertainment', 'Inaudible Films']",A24,United States,English,74,,,,6.8,68.0,62.0,69.00%
8,Obvious Child,Gillian Robespierre,,Elisabeth Holm,"['Jenny Slate', 'Jake Lacy', 'Gaby Hoffmann', 'Gabe Liedman', 'Richard Kind', 'Polly Draper', 'David Cross']",Chris Teague,"['Casey Brooks', 'Jacob Craycroft']",Chris Bordeaux,"['Rooks Nest Entertainment', 'Sundial Pictures', 'Votiv Films']",A24,United States,English,83,1000000,3300000,1/17/14,6.7,67.0,76.0,90.00%
74,The Children Act,Richard Eyre,Ian McEwan,Duncan Kenworthy,"['Emma Thompson', 'Stanley Tucci', 'Fionn Whitehead']",Andrew Dunn,Dan Farrell,Stephen Warbeck,"['A24', 'DirecTV', 'FilmNation Entertainment', 'BBC Films']","['A24 (United States)', 'Entertainment One (United Kingdom)']",,English,105,,17700000,9/9/17,6.7,67.0,62.0,74.00%
100,Saint Maud,Rose Glass,Rose Glass,"['Andrea Cornwell', 'Oliver Kassman']","['Morfydd Clark', 'Jennifer Ehle']",Ben Fordesman,Mark Towns,Adam Janota Bzowski,"['Film4', 'British Film Institute', 'Escape Plan Productions']",StudioCanal,United Kingdom,English,84,,1400000,9/8/19,6.7,67.0,83.0,93.00%
113,After Yang,Kogonada,,"['Theresa Park', 'Andrew Goldman', 'Caroline Kaplan', 'Paul Mezey']","['Colin Farrell', 'Jodie Turner-Smith', 'Justin H. Min', 'Malea Emma Tjandrawidjaja', 'Haley Lu Richardson']",Benjamin Loeb,Kogonada,"['Aska Matsumiya', 'Ryuichi Sakamoto']","['A24', 'Cinereach', 'Per Capita Productions']","['A24', 'Showtime']",United States,English,96,9000000,672154,7/8/21,6.7,67.0,78.0,89.00%
68,Woman Walks Ahead,Susanna White,Steven Knight,"['Edward Zwick', 'Marshall Herskovitz', 'Erika Olde', 'Rick Solomon', 'Andrea Calderwood']","['Jessica Chastain', 'Michael Greyeyes', 'Chaske Spencer', 'Sam Rockwell']",Mike Eley,"['Lucia Zucchetti', 'Steven Rosenblum']",George Fenton,"['IM Global', 'Black Bicycle Entertainment', 'Bedford Falls Productions', 'Potboiler Productions']","['A24', 'DirecTV Cinema']",,,102,5000000,80912,9/10/17,6.6,66.0,51.0,59.00%
105,The Green Knight,David Lowery,David Lowery,"['Toby Halbrooks', 'James M. Johnston', 'David Lowery', 'Tim Headington', 'Theresa Steele Page']","['Dev Patel', 'Alicia Vikander', 'Joel Edgerton', 'Sarita Choudhury', 'Sean Harris', 'Ralph Ineson']",Andrew Droz Palermo,David Lowery,Daniel Hart,"['A24', 'Ley Line Entertainment', 'Sailor Bear', 'Bron Creative', 'Wild Atlantic Pictures']",A24,,English,130,15000000,20000000,,6.6,66.0,85.0,89.00%
114,X,Ti West,Ti West,"['Ti West', 'Jacob Jaffke', 'Kevin Turen', 'Harrison Kreiss']","['Mia Goth', 'Jenna Ortega', 'Martin Henderson', 'Brittany Snow', 'Owen Campbell', 'Stephen Ure', 'Scott Mescudi']",Eliot Rockett,"['David Kashevaroff', 'Ti West']","['Tyler Bates', 'Chelsea Wolfe']","['Little Lamb', 'Mad Solar Productions']",A24,,English,106,1000000,15100000,3/13/22,6.6,66.0,79.0,94.00%
122,X,Ti West,Ti West,"['Ti West', 'Jacob Jaffke', 'Kevin Turen', 'Harrison Kreiss']","['Mia Goth', 'Jenna Ortega', 'Martin Henderson', 'Brittany Snow', 'Owen Campbell', 'Stephen Ure', 'Scott Mescudi']",Eliot Rockett,"['David Kashevaroff', 'Ti West']","['Tyler Bates', 'Chelsea Wolfe']","['Little Lamb', 'Mad Solar Productions']",A24,,English,106,1000000,15100000,3/13/22,6.6,66.0,79.0,94.00%
145,You Hurt My Feelings,Nicole Holofcener,Nicole Holofcener,"['Stefanie Azpiazu', 'Anthony Bregman']","['Julia Louis-Dreyfus', 'Tobias Menzies', 'Michaela Watkins', 'Owen Teague', 'Arian Moayed', 'Jeannie Berlin']",Jeffrey Waldron,Alisa Lepselter,Michael Andrews,"['Likely Story', 'FilmNation Entertainment']",A24,United States,,93,,,,6.6,66.0,,
149,The Iron Claw,Sean Durkin,,"['Tessa Ross', 'Derrin Schlesinger', 'Juliette Howell', 'Angus Lamont']","['Zac Efron', 'Lily James', 'Harris Dickinson', 'Maura Tierney', 'Holt McCallany']",Mátyás Erdély,Matthew Hannam,,"['A24', 'BBC Film', 'House Productions', 'Access Entertainment']",A24,,English,,,,,6.6,66.0,,
52,Menashe,Joshua Z. Weinstein,"['Alex Lipschultz', 'Musa Syeed', 'Joshua Z. Weinstein']","['Alex Lipschultz', 'Traci Carlson', 'Joshua Z. Weinstein', 'Daniel Finkelman', 'Yoni Brook']","['Menashe Lustig', 'Ruben Niborski', 'Yoel Weisshaus', 'Meyer Schwartz']","['Yoni Brook', 'Joshua Z. Weinstein']",Scott Cummings,"['Aaron Martin', 'Dag Rosenqvist']",,A24,United States,,81,,2000000,1/23/17,6.5,65.0,81.0,95.00%
82,Under the Silver Lake,David Robert Mitchell,David Robert Mitchell,"['Michael De Luca', 'Chris Bender', 'Jake Weiner', 'Adele Romanski', 'David Robert Mitchell']","['Andrew Garfield', 'Riley Keough']",Michael Gioulakis,Julio C. Perez IV,Disasterpeace,"['Pastel Productions', 'Michael De Luca Productions', 'Stay Gold Features', 'Vendian Entertainment', 'Salem Street Entertainment', 'Boo Pictures']",A24,United States,English,139,8000000,2053469,5/15/18,6.5,65.0,60.0,59.00%
103,Zola,Janicza Bravo,,"['Christine Vachon', 'David Hinojosa', 'Gia Walsh', 'Kara Baker', 'Vince Jolivette', 'Elizabeth Haggard', 'Dave Franco']","['Taylour Paige', 'Riley Keough', 'Nicholas Braun', ""Ari'el Stachel"", 'Colman Domingo']",Ari Wegner,Joi McMillon,Mica Levi,"['Killer Films', 'Ramona Films', 'Gigi Films']",A24,United States,English,90,5000000,5000000,1/24/20,6.5,65.0,76.0,88.00%
123,Instinct,Halina Reijn,,,"['Carice van Houten', 'Marwan Kenzari']",,,,,A24,Netherlands,Dutch,108,,,8/12/19,6.5,65.0,43.0,26.00%
127,Causeway,Lila Neugebauer,"['Ottessa Moshfegh', 'Luke Goebel', 'Elizabeth Sanders']","['Jennifer Lawrence', 'Justine Ciarrocchi']","['Jennifer Lawrence', 'Brian Tyree Henry', 'Linda Emond', 'Jayne Houdyshell', 'Stephen McKinley Henderson', 'Russell Harvard']",Diego García,"['Robert Frazen', 'Lucian Johnston']",Alex Somers,"['A24', 'IAC Films', 'Excellent Cadaver']","['A24', 'Apple TV+']",United States,English,92,,,9/10/22,6.5,65.0,66.0,85.00%
9,The Rover,David Michôd,,"['Liz Watts', 'David Linde', 'David Michôd']","['Guy Pearce', 'Robert Pattinson', 'Scoot McNairy', 'David Field', 'Anthony Hayes', 'Gillian Jones', 'Susan Prior']",Natasha Braier,Peter Sciberras,Antony Partos,"['Blue-Tongue Films', 'Porchlight Films', 'Lava Bear Films', 'Screen Australia']",Roadshow Films,Australia,English,102,,3200000,5/18/14,6.4,64.0,64.0,67.00%
12,Laggies,Lynn Shelton,Andrea Seigel,"['Kevin Scott Frakes', 'Steve Golin', 'Alix Madigan', 'Myles Nestel', 'Raj Brinder Singh', 'Rosalie Swedlin', '']","['Keira Knightley', 'Chloë Grace Moretz', 'Sam Rockwell', 'Kaitlyn Dever', 'Jeff Garlin', 'Ellie Kemper', 'Mark Webber', 'Daniel Zovatto']",Benjamin Kasulke,Nat Sanders,Benjamin Gibbard,,A24,United States,English,100,,2400000,1/17/14,6.4,64.0,63.0,65.00%
16,Son of a Gun,Julius Avery,Julius Avery,Timothy White,"['Ewan McGregor', 'Brenton Thwaites', 'Alicia Vikander', 'Jacek Koman', 'Matthew Nable', 'Tom Budge']",Nigel Bluck,Jack Hutchings,Jed Kurzel,"['Screen Australia', 'ScreenWest', 'Lotterywest', 'Screen NSW', 'Media House Capital', 'Daydream Productions Limited', 'Hopscotch Entertainment One', 'Altitude Film Sales']","['Hopscotch Entertainment One (Australia and New Zealand)', 'Koch Media', '(United Kingdom)', 'Mongrel Media', '(Canada)']",,English,109,,660241,10/16/14,6.4,64.0,49.0,62.00%
25,Mississippi Grind,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck']","['Lynette Howell', 'Ben Nearn', 'Jamie Patricof', 'Tom Rice']","['Ryan Reynolds', 'Ben Mendelsohn', 'Sienna Miller', 'Lio Tipton', 'Alfre Woodard']",Andrij Parekh,Anna Boden,Scott Bomar,"['Electric City Entertainment', 'Sycamore Pictures']","['A24 (United States)', 'Annapurna International (international)']",United States,English,108,7100000,422746,1/24/15,6.4,64.0,77.0,91.00%
83,The Souvenir,Joanna Hogg,Joanna Hogg,"['Joanna Hogg', 'Luke Schiller']","['Honor Swinton Byrne', 'Tom Burke', 'Tilda Swinton']",David Raedeker,Helle Le Fevre,,"['A24', 'BBC Films', 'British Film Institute', 'JWH Films', 'Sikelia Productions', 'Protagonist Pictures']","['A24 (United States)', 'Curzon Artificial Eye (United Kingdom and Ireland)']",,English,119,,2100000,1/27/19,6.4,64.0,92.0,89.00%
89,The Death of Dick Long,Daniel Scheinert,Billy Chew,"['Jonathan Wang', 'Daniel Scheinert', 'Melodie Sisk']","['Michael Abbott Jr.', 'Virginia Newcomb', 'Andre Hyland', 'Sarah Baker', 'Jess Weixler', 'Roy Wood Jr.', 'Sunita Mani']",Ashley Connor,Paul Rogers,"['Andy Hull', 'Robert McDowell']",,A24,United States,English,100,,36856,1/26/19,6.4,64.0,69.0,74.00%
99,On the Rocks,Sofia Coppola,Sofia Coppola,"['Sofia Coppola', 'Youree Henley']","['Bill Murray', 'Rashida Jones', 'Marlon Wayans']",Philippe Le Sourd,Sarah Flack,Phoenix,,"['A24', 'Apple TV+']",United States,English,96,,992103,9/22/20,6.4,64.0,73.0,87.00%
133,When You Finish Saving the World,Jesse Eisenberg,,"['Dave McCary', 'Emma Stone', 'Ali Herting']","['Julianne Moore', 'Finn Wolfhard', 'Jay O. Sanders', 'Alisha Boe', 'Billy Bryk', 'Eleonore Hendricks']",Benjamin Loeb,Sara Shaw,Emile Mosseri,,A24,United States,English,88,,196920,1/20/22,6.4,64.0,60.0,65.00%
151,Tuesday,Daina O. Pusic,Daina O. Pusic,"['Helen Gladders', 'Ivana MacKinnon', 'Oliver Roskill']","['Julia Louis-Dreyfus', 'Lola Petticrew']",Alexis Zabé,,,"['A24', 'BBC Film', 'Cinereach', 'British Film Institute', 'Gingerbread Pictures', 'Wild Swim Films', 'Record Player Films']",A24,,English,,,,,6.4,64.0,,
6,Under the Skin,Jonathan Glazer,,"['James Wilson', 'Nick Wechsler']",Scarlett Johansson,Daniel Landin,Paul Watts,Mica Levi,"['BFI', 'Film4', 'Silver Reel', 'Creative Scotland', 'JW Films', 'FilmNation Entertainment']","['StudioCanal (United Kingdom)', 'Ascot Elite (Switzerland)', 'A24 (United States)']",,English,108,,7300000,8/29/13,6.3,63.0,80.0,84.00%
17,While We're Young,Noah Baumbach,Noah Baumbach,"['Scott Rudin', 'Noah Baumbach', 'Lila Yacoub', 'Eli Bush']","['Ben Stiller', 'Naomi Watts', 'Adam Driver', 'Amanda Seyfried', 'Charles Grodin', 'Adam Horovitz']",Sam Levy,Jennifer Lame,James Murphy,,A24,United States,English,97,10000000,21100000,9/6/14,6.3,63.0,77.0,84.00%
38,Morris from America,Chad Hartigan,Chad Hartigan,"['Martin Heisler', 'Sara Murphy', 'Adele Romanski', 'Gabriele Simon']","['Craig Robinson', 'Markees Christmas', 'Carla Juri', 'Lina Keller', 'Jakub Gierszał']",Sean McElwee,Anne Fabini,Keegan DeWitt,"['Lichtblick Media', 'Beachside Films', 'Indi Film', 'SWR']","['A24', 'DirecTV Cinema']",,,91,,91181,1/22/16,6.3,63.0,75.0,87.00%
47,Free Fire,Ben Wheatley,"['Amy Jump', 'Ben Wheatley']",Andy Starke,"['Sharlto Copley', 'Armie Hammer', 'Brie Larson', 'Cillian Murphy', 'Jack Reynor', 'Babou Ceesay', 'Enzo Cilenti', 'Sam Riley', 'Michael Smiley', 'Noah Taylor']",Laurie Rose,"['Amy Jump', 'Ben Wheatley']","['Ben Salisbury', 'Geoff Barrow']","['Film4 Productions', 'BFI', 'Rook Films', 'Protagonist Pictures']",StudioCanal,United Kingdom,English,90,7000000,3800000,9/8/16,6.3,63.0,63.0,70.00%
60,The Ballad of Lefty Brown,Jared Moshe,Jared Moshe,"['Edward Parks', 'Neda Armian', 'Dan Burks', 'Jared Moshe']","['Bill Pullman', 'Kathy Baker', 'Jim Caviezel', 'Peter Fonda', 'Tommy Flanagan']",David McFarland,Terel Gibson,H. Scott Salinas,"['Om Films, Inc', 'Armian Pictures', 'Dissident Pictures', 'Higher Content', 'Rival Pictures']",A24,United States,English,111,5000000,7856,3/11/17,6.3,63.0,64.0,80.00%
64,Backstabbing for Beginners,Per Fly,"['Daniel Pyne', 'Per Fly']","['Lars Knudsen', 'Nikolaj Vibe Michelsen', 'Jay Van Hoy', 'Malene Blenkov']","['Ben Kingsley', 'Theo James', 'Belçim Bilgin', 'Jacqueline Bisset']",Brendan Steacy,Morten Giese,Todor Kobakov,"['Creative Alliance', 'Eyeworks Scandi Fiction', 'Hoylake Capital', 'Parts and Labor', 'Scythia Films', 'Waterstone Entertainment']","['A24', 'DirecTV Cinema']",,English,104,8000000,367000,1/18/18,6.3,63.0,48.0,38.00%
70,Hot Summer Nights,Elijah Bynum,Elijah Bynum,"['Bradley Thomas', 'Dan Friedkin', 'Ryan Friedkin']","['Timothée Chalamet', 'Maika Monroe', 'Alex Roe', 'Maia Mitchell', 'William Fichtner', 'Thomas Jane', 'Emory Cohen', ""Rachel O'Shaughnessy""]",Javier Julia,"['Jeffrey J. Castelluccio', 'Dan Zimmerman', 'Tom Costantino']",Will Bates,,"['A24', 'DirecTV Cinema']",United States,English,107,,246133,3/13/17,6.3,63.0,44.0,44.00%
79,Gloria Bell,Sebastián Lelio,,"['Juan de Dios Larraín', 'Pablo Larraín', 'Sebastián Lelio', 'Mark Levinson']","['Julianne Moore', 'John Turturro', 'Michael Cera', 'Caren Pistorius', 'Brad Garrett', 'Jeanne Tripplehorn', 'Rita Wilson', 'Chris Mulkey', 'Sean Astin', 'Holland Taylor']",Natasha Braier,Soledad Salfate,Matthew Herbert,"['FilmNation Entertainment', 'Fabula']","['A24 (United States)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",,English,102,,11100000,9/7/18,6.3,63.0,79.0,
90,Low Tide,Kevin McMullin,Kevin McMullin,"['Rian Cahill', 'Brian Kavanaugh-Jones', 'Brandon McHugh', 'Richard Peete', 'Kevin Rowe']","['Keean Johnson', 'Alex Neustaedter', 'Daniel Zolghadri', 'Kristine Froseth', 'Shea Whigham', 'Jaeden Martell']",Andrew Ellmaker,Ed Yonaitis,"['Brooke Blair', 'Will Blair']","['Automatik', 'Boy & Star', 'Headgear Films', 'Metrol Technology', 'Neighborhood Watch']","['A24', 'DirecTV Cinema']",United States,English,86,,,4/28/19,6.3,63.0,64.0,73.00%
106,Lamb,Valdimar Jóhannsson,"['Sjón', 'Valdimar Jóhannsson']","['Marcin Drabiński', 'Piodor Gustafsson', 'Zuzanna Hencz', 'Hrönn Kristinsdóttir', 'Jon Mankell', 'Sara Nassim', 'Jan Naszewski', 'Erik Rydell', 'Klaudia Śmieja-Rostworowska']","['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Eggert Sigurðsson']",Eli Arenson,Agnieszka Glinska,Þórarinn Guðnason,"['Go to Sheep', 'Boom Films', 'Black Spark Productions', 'Madants/NEM Corp', 'Film i Väst', 'Chimney Sweden', 'Chimney Poland', 'Rabbit Hole Productions']","['Sena (Iceland)', 'TriArt Film (Sweden)', 'Gutek Film (Poland)']",,Icelandic,106,,3200000,7/13/21,6.3,63.0,68.0,86.00%
119,Bodies Bodies Bodies,Halina Reijn,,"['David Hinojosa', 'Ali Herting']","['Amandla Stenberg', 'Maria Bakalova', ""Myha'la Herrold"", 'Chase Sui Wonders', 'Rachel Sennott', 'Lee Pace', 'Pete Davidson']",Jasper Wolf,"['Taylor Levy', 'Julia Bloch']",Disasterpeace,,"['A24 (United States)', 'Stage 6 Films (through Sony Pictures Releasing ) (international)']",United States,English,94,,14000000,3/14/22,6.3,63.0,69.0,85.00%
120,Funny Pages,Owen Kline,Owen Kline,"['Josh Safdie', 'Benny Safdie', 'Sebastian Bear-McClard', 'Ronald Bronstein', 'Oscar Boyson', 'David Duque-Estrada']","['Daniel Zolghadri', 'Matthew Maher', 'Miles Emanuel', 'Maria Dizzia', 'Josh Pais']","['Sean Price Williams', 'Hunter Zimny']","['Owen Kline', 'Erin Dewitt']",Sean O'Hagan,"['A24', 'Elara Pictures']",A24,United States,English,86,,,5/24/22,6.3,63.0,73.0,83.00%
1,Ginger & Rosa,Sally Potter,Sally Potter,"['Christopher Sheppard', 'Andrew Litvin']","['Elle Fanning', 'Alice Englert', 'Alessandro Nivola', 'Christina Hendricks', 'Timothy Spall', 'Oliver Platt', 'Jodhi May', 'Annette Bening']",Robbie Ryan,Anders Refn,,"['British Film Institute', 'BBC Films', 'Adventure Pictures', 'The Match Factory', 'Ingenious', 'Media House Capital', 'Miso Film', 'Danish Film Institute']","['Artificial Eye (United Kingdom)', '(United Kingdom)', 'Universal Pictures (Denmark)', '(Denmark)', 'Union Pictures (Canada)', '(Canada)', 'A24 (United States)', '(United States)']",,English,90,,1700000,9/7/12,6.2,62.0,69.0,78.00%
24,Dark Places,Gilles Paquet-Brenner,,"['Stéphane Marsil', 'Azim Bolkiah', 'Matthew Rhodes', 'Cathy Schulman', 'Charlize Theron', 'Rob Weston']","['Charlize Theron', 'Christina Hendricks', 'Nicholas Hoult', 'Chloë Grace Moretz', 'Corey Stoll', 'Tye Sheridan', 'Sterling Jerins', 'Andrea Roth', 'Sean Bridgers']",Barry Ackroyd,"['Douglas Crise', 'Billy Fox']","['BT', 'Gregory Tripi']","['Exclusive Media Group', 'Mandalay Pictures', 'Denver and Delilah Productions']","['Mars Distribution (France)', 'Entertainment One (United Kingdom)', 'A24 (United States)']",,English,112,,5100000,4/8/15,6.2,62.0,39.0,23.00%
50,It Comes at Night,Trey Edward Shults,Trey Edward Shults,"['David Kaplan', 'Andrea Roa']","['Joel Edgerton', 'Christopher Abbott', 'Carmen Ejogo', 'Riley Keough', 'Kelvin Harrison Jr.']",Drew Daniels,"['Trey Edward Shults', 'Matthew Hannam']",Brian McOmber,"['A24', 'Animal Kingdom']",A24,United States,English,91,2400000,20000000,4/29/17,6.2,62.0,78.0,88.00%
95,In Fabric,Peter Strickland,Peter Strickland,Andrew Starke,"['Marianne Jean-Baptiste', 'Hayley Squires', 'Leo Bill', 'Julian Barratt', 'Steve Oram', 'Gwendoline Christie', 'Barry Adamson', 'Jaygann Ayeh', 'Richard Bremmer', 'Terry Bird', 'Fatma Mohamed']",Ari Wegner,Matyas Fekete,Cavern of Anti-Matter,"['A24', 'Rook Films', 'BBC Films', 'British Film Institute', 'Headgear Films', 'Metrol Technology']","['Curzon Artificial Eye (United Kingdom)', 'A24 (United States)']",United Kingdom,English,118,,,9/18/18,6.2,62.0,81.0,91.00%
109,The Humans,Stephen Karam,,"['Louise Lovegrove', 'Stephen Karam']","['Jayne Houdyshell', 'Richard Jenkins', 'Amy Schumer', 'Beanie Feldstein', 'Steven Yeun', 'June Squibb']",Lol Crawley,Nick Houy,Nico Muhly,"['A24', 'IAC Films']","['A24', 'Showtime']",United States,English,108,,,9/12/21,6.2,62.0,78.0,92.00%
18,Cut Bank,Matt Shakman,Roberto Patino,"['Mickey Barold', 'Dan Cohen', 'Edward Zwick', 'Laura Rister', 'Mark C. Manuel', ""Ted O'Neal""]","['Liam Hemsworth', 'Billy Bob Thornton', 'John Malkovich', 'Teresa Palmer', 'Michael Stuhlbarg']",Ben Richardson,Craig Wood,James Newton Howard,,A24,United States,English,92,5000000,288591,6/16/14,6.1,61.0,44.0,37.00%
39,The Sea of Trees,Gus Van Sant,Chris Sparling,"['Gil Netter', 'Ken Kao', 'Kevin Halloran', 'F. Gary Gray', 'E. Brian Dobbins', 'Allen Fischer', 'Chris Sparling']","['Matthew McConaughey', 'Ken Watanabe', 'Naomi Watts']",Kasper Tuxen,Pietro Scalia,Mason Bates,"['Bloom', 'Gil Netter Productions', 'Waypoint Entertainment']",A24,United States,,110,25000000,850985,5/16/15,6.1,61.0,23.0,17.00%
116,Men,Alex Garland,Alex Garland,"['Andrew Macdonald', 'Allon Reich']","['Jessie Buckley', 'Rory Kinnear']",Rob Hardy,Jake Roberts,"['Ben Salisbury', 'Geoff Barrow']",,Entertainment Film Distributors,United Kingdom,English,100,,11200000,5/20/22,6.1,61.0,65.0,68.00%
130,The Eternal Daughter,Joanna Hogg,Joanna Hogg,"['Ed Guiney', 'Emma Norton', 'Andrew Lowe', 'Joanna Hogg']","['Tilda Swinton', 'Joseph Mydell', 'Carly-Sophia Davies']",Ed Rutherford,Helle Le Fevre,,"['A24', 'BBC Film', 'Element Pictures', 'JWH Films']",A24,,English,96,,33657,9/6/22,6.1,61.0,80.0,95.00%
36,Equals,Drake Doremus,,"['Michael Pruss', 'Chip Diggins', 'Ann Ruark', 'Michael Schaefer', 'Jay Stern']","['Nicholas Hoult', 'Kristen Stewart', 'Guy Pearce', 'Jacki Weaver']",John Guleserian,Jonathan Alberts,"['Sascha Ring', ""Dustin O'Halloran""]","['Route One Films', 'Scott Free Productions', 'Freedom Media', 'Infinite Frameworks Studio']","['A24', 'DirecTV Cinema']",United States,English,101,,2100000,9/5/15,6.0,60.0,43.0,36.00%
71,Never Goin' Back,Augustine Frizzell,Augustine Frizzell,"['James M. Johnston', 'Toby Halbrooks', 'Liz Cardenas']","['Maia Mitchell', 'Camila Morrone']",Greta Zozula,"['Augustine Frizzell', 'Courtney Ware']",Sarah Jaffe,"['Sailor Bear', 'Mama Bear Studios']",A24,United States,English,85,,61271,1/22/18,6.0,60.0,62.0,76.00%
93,The Kill Team,Dan Krauss,Dan Krauss,"['Marty Bowen', 'Wyck Godfrey', 'Adrian Guerra', 'Isaac Klausner']","['Nat Wolff', 'Adam Long', 'Anacletus Sanga', 'Brian ""Sene"" Marc', 'Osy Ikhile', 'Anna Francolini', 'Rob Morrow', 'Alexander Skarsgård']",Stéphane Fontaine,"['Luke Doolan', 'Franklin Peterson']",Zacarías M. de la Riva,"['Nostromo Pictures', 'Temple Hill Entertainment']",A24,United States,English,87,,415772,4/27/19,6.0,60.0,60.0,71.00%
140,Medusa Deluxe,Thomas Hardiman,Thomas Hardiman,"['Michael Elliott', 'Lee Groombridge', 'Louise Palmkvist Hansen']","['Clare Perkins', 'Anita-Joy Uwajeh', 'Kae Alexander', 'Harriet Webb', ""Darrell D'Silva"", 'Luke Pasqualino', 'Heider Ali']",Robbie Ryan,Fouad Gaber,,"['BBC Film', 'BFI', 'EMU Films', 'Time Based Arts']","['Mubi', 'A24', '(United States)']",United Kingdom,English,100,,,,6.0,60.0,,83.00%
14,The Captive,Atom Egoyan,"['Atom Egoyan', 'David Fraser']","['Atom Egoyan', 'Jennifer Weiss', 'Simone Urdl', 'Stephen Traynor']","['Bruce Greenwood', 'Ryan Reynolds', 'Scott Speedman', 'Rosario Dawson', 'Mireille Enos', 'Kevin Durand', 'Alexia Fast']",Paul Sarossy,"['Atom Egoyan', 'Susan Shipton']",Mychael Danna,"['Ego Film Arts', 'The Film Farm']",Entertainment One,Canada,English,112,,2090612,,5.9,59.0,36.0,28.00%
46,The Blackcoat's Daughter,Osgood Perkins,Osgood Perkins,"['Adrienne Biddle', 'Rob Paris', 'Bryan Bertino', 'Robert Menzies', 'Alphonse Ghossein']","['Emma Roberts', 'Kiernan Shipka', 'Lucy Boynton', 'Lauren Holly', 'James Remar']",Julie Kirkwood,Brian Ufberg,Elvis Perkins,"['Paris Film', 'Unbroken Pictures', 'Zed Filmworks', 'Go Insane Films', 'Traveling Picture Show Company', 'Highland Film Group', '120db Films']","['A24', 'DirecTV Cinema']",,,93,,38348,9/12/15,5.9,59.0,68.0,74.00%
