name,pubpriv,enrollment,allvaccs,conditional,medical,religious,dptMiss,polMiss,mmrMiss,hepMiss,varMiss
NOBLE AVENUE ELEMENTARY,PUBLIC,163,98.77300613,0,0.613496933,0.613496933,1.226993865,1.226993865,1.226993865,1.226993865,1.226993865
CHRISTINE SIPHERD ELEMENTARY,PUBLIC,76,89.47368421,6.578947368,0,3.947368421,9.210526316,9.210526316,9.210526316,3.947368421,3.947368421
BRANDON ELEMENTARY,PUBLIC,75,89.33333333,0,0,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667,10.66666667
EAGLE CANYON ELEMENTARY,PUBLIC,61,100,0,0,0,0,0,0,0,0
H. A. HYDE ELEMENTARY,PUBLIC,95,91.57894737,4.210526316,0,4.210526316,7.368421053,8.421052632,8.421052632,4.210526316,8.421052632
RIVER BLUFF ELEMENTARY,PUBLIC,132,93.93939394,3.03030303,0,3.03030303,3.787878788,4.545454545,5.303030303,3.787878788,3.787878788
CRESTMORE ELEMENTARY,PUBLIC,92,98.91304348,0,1.086956522,0,1.086956522,1.086956522,1.086956522,1.086956522,1.086956522
POMO,PUBLIC,105,87.61904762,11.42857143,0,0.952380952,11.42857143,9.523809524,10.47619048,3.80952381,4.761904762
LONGFELLOW ELEMENTARY,PUBLIC,97,94.84536082,4.12371134,0,1.030927835,5.154639175,5.154639175,3.092783505,2.06185567,2.06185567
BRYSON AVENUE ELEMENTARY,PUBLIC,157,93.63057325,5.095541401,0.636942675,0.636942675,3.821656051,4.458598726,3.821656051,3.184713376,3.184713376
FAIRMONT ELEMENTARY,PUBLIC,192,88.54166667,3.125,0,8.333333333,9.895833333,10.41666667,9.895833333,9.895833333,8.854166667
CYPRESS ELEMENTARY,PUBLIC,86,96.51162791,2.325581395,0,1.162790698,2.325581395,2.325581395,3.488372093,1.162790698,1.162790698
ROBERT HEIDEMAN ELEMENTARY,PUBLIC,131,90.83969466,9.160305344,0,0,6.870229008,6.106870229,8.396946565,0,0
HOLMES ELEMENTARY,PUBLIC,93,92.47311828,7.52688172,0,0,4.301075269,5.376344086,6.451612903,2.150537634,2.150537634
CHRIST LUTHERAN CHURCH AND SCHOOL,PRIVATE,21,52.38095238,47.61904762,0,0,0,19.04761905,47.61904762,9.523809524,0
PAUBA VALLEY ELEMENTARY,PUBLIC,126,88.88888889,3.174603175,0,7.936507937,10.31746032,9.523809524,9.523809524,8.73015873,7.936507937
LAKEVIEW ELEMENTARY,PUBLIC,84,96.42857143,1.19047619,0,2.380952381,2.380952381,2.380952381,3.571428571,2.380952381,2.380952381
ROBERT F. KENNEDY ELEMENTARY,PUBLIC,74,91.89189189,8.108108108,0,0,8.108108108,8.108108108,8.108108108,0,8.108108108
WILLIAM GREEN ELEMENTARY,PUBLIC,147,91.83673469,7.482993197,0,0.680272109,4.081632653,4.761904762,6.12244898,1.360544218,0.680272109
URBAN MONTESSORI CHARTER,PUBLIC,52,50,46.15384615,0,3.846153846,42.30769231,44.23076923,40.38461538,36.53846154,25
COUNTRYSIDE MONTESSORI CENTER,PRIVATE,10,100,0,0,0,0,0,0,0,0
CELERITY SIRIUS CHARTER,PUBLIC,95,95.78947368,4.210526316,0,0,3.157894737,1.052631579,1.052631579,2.105263158,0
WESTLAKE ELEMENTARY,PUBLIC,89,82.02247191,13.48314607,0,4.494382022,12.35955056,11.23595506,13.48314607,5.617977528,4.494382022
GALLATIN ELEMENTARY,PUBLIC,90,97.77777778,2.222222222,0,0,2.222222222,2.222222222,1.111111111,0,0
WOODBURY ELEMENTARY,PUBLIC,178,80.8988764,16.85393258,2.247191011,0,14.04494382,10.6741573,14.04494382,5.617977528,3.370786517
MARIN ELEMENTARY,PUBLIC,91,74.72527473,23.07692308,0,2.197802198,20.87912088,14.28571429,19.78021978,9.89010989,9.89010989
PAUL ECKE-CENTRAL ELEMENTARY,PUBLIC,87,79.31034483,4.597701149,1.149425287,14.94252874,17.24137931,18.3908046,19.54022989,17.24137931,17.24137931
ST. MARY,PRIVATE,20,100,0,0,0,0,0,0,0,0
LINDA VISTA ELEMENTARY,PUBLIC,53,94.33962264,0,0,5.660377358,5.660377358,5.660377358,5.660377358,5.660377358,5.660377358
MILES AVENUE ELEMENTARY,PUBLIC,172,50.58139535,49.41860465,0,0,42.44186047,43.02325581,45.93023256,40.11627907,38.95348837
RILEY ELEMENTARY,PUBLIC,59,98.30508475,1.694915254,0,0,0,0,1.694915254,0,0
WILDWOOD SCHOOL,PRIVATE,45,66.66666667,0,2.222222222,31.11111111,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
WILHELMINA HENRY ELEMENTARY,PUBLIC,100,94,6,0,0,6,6,3,2,0
