DATE_TIME,DEPTH_m,T_DEGC,SC_us_cm,pH,Dox_mg_L,Tn_Ntu,Chl_ug_L,PRECIP_in,AWND_mph,WDF5_deg,WSF5_mph
3/30/2016 13:18,1,5.67,1824,8.14,12.84,1.7,1.3,0,10.07,190,33.1
3/30/2016 13:18,2,5.9,1822,8.15,12.86,1.8,2,0,10.07,190,33.1
3/30/2016 13:18,3,5.83,1824,8.15,12.83,1.7,2.9,0,10.07,190,33.1
3/30/2016 13:18,4,5.72,1825,8.15,12.82,1.5,3.5,0,10.07,190,33.1
3/30/2016 13:18,5,5.51,1825,8.14,12.79,1.7,3.3,0,10.07,190,33.1
3/30/2016 13:18,6,5.48,1828,8.13,12.71,2.5,5.1,0,10.07,190,33.1
3/30/2016 13:18,7,5.48,1826,8.13,12.75,1.9,3.6,0,10.07,190,33.1
3/30/2016 13:18,8,5.48,1827,8.13,12.71,1.7,2.8,0,10.07,190,33.1
3/30/2016 13:18,9,5.48,1829,8.13,12.67,1.7,3.3,0,10.07,190,33.1
3/30/2016 13:18,10,5.48,1828,8.13,12.66,1.9,3.1,0,10.07,190,33.1
3/30/2016 13:18,11,5.48,1829,8.14,12.67,1.7,4,0,10.07,190,33.1
3/30/2016 13:18,12,5.48,1827,8.13,12.65,2,3.7,0,10.07,190,33.1
3/30/2016 13:18,13,5.48,1827,8.13,12.65,1.8,6.2,0,10.07,190,33.1
3/30/2016 13:18,14,5.48,1828,8.13,12.61,1.7,4.7,0,10.07,190,33.1
3/30/2016 13:18,15,5.48,1828,8.13,12.62,1.6,3.1,0,10.07,190,33.1
3/30/2016 13:18,16,5.47,1826,8.13,12.61,3.9,3.8,0,10.07,190,33.1
3/30/2016 13:18,17,5.39,1829,8.13,12.56,1.7,5.1,0,10.07,190,33.1
3/30/2016 13:18,18,5.39,1830,8.13,12.52,1.5,3.5,0,10.07,190,33.1
3/31/2016 0:03,1,5.56,1828,8.14,12.7,3.1,4.1,0.09,14.32,170,36.9
3/31/2016 0:03,2,5.57,1830,8.14,12.69,1.7,4.4,0.09,14.32,170,36.9
